Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	194
Date	2004JUL12
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.50724	[p_s^-1]
ForeOptic_temperature	39.15	[ns]
Front_temperature	39.15	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.63	[ns]
Shelter_temperature	17.43	[ns]
PSUnit_temperature	21.51	[ns]
AirCond_temperature	26.79	[ns]
Outside_temperature	24.57	[ns]
Comments	none
Formatted_file	2004194f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.020	0.00077	0.1425	0.0000
290.120	0.00077	0.1425	-0.0000
290.220	-0.00079	0.1404	-0.0000
290.320	0.00076	0.1425	-0.0000
290.420	-0.00079	0.1404	-0.0000
290.520	0.00076	0.1425	-0.0000
290.620	-0.00079	0.1404	-0.0000
290.720	0.00076	0.1425	-0.0000
290.820	-0.00078	0.1404	-0.0000
290.920	-0.00078	0.1404	-0.0000
291.020	0.00076	0.1425	-0.0000
291.120	0.00076	0.1425	0.0000
291.220	0.00076	0.1425	0.0000
291.320	-0.00078	0.1404	0.0000
291.420	0.00076	0.1425	0.0000
291.520	-0.00078	0.1404	0.0000
291.620	-0.00078	0.1404	0.0000
291.720	0.00076	0.1425	0.0000
291.820	0.00229	0.0818	0.0000
291.920	0.00076	0.1425	0.0000
292.020	0.00076	0.1425	0.0000
292.120	0.00229	0.0818	-0.0000
292.220	0.00229	0.0818	-0.0000
292.320	0.00075	0.1425	-0.0000
292.420	0.00075	0.1425	-0.0000
292.520	0.00228	0.0818	-0.0000
292.620	0.00075	0.1425	-0.0000
292.720	0.00075	0.1425	-0.0000
292.820	0.00228	0.0818	-0.0000
292.920	0.00228	0.0818	-0.0000
293.020	0.00380	0.0633	-0.0000
293.120	0.00380	0.0633	0.0000
293.220	0.00532	0.0535	0.0000
293.320	0.00380	0.0633	0.0000
293.420	0.00684	0.0472	0.0000
293.520	0.00987	0.0392	0.0000
293.620	0.00379	0.0633	0.0000
293.720	0.00683	0.0472	0.0000
293.820	0.00986	0.0392	0.0000
293.920	0.01137	0.0365	0.0000
294.020	0.01591	0.0309	0.0000
294.120	0.00833	0.0427	-0.0000
294.220	0.01590	0.0309	-0.0000
294.320	0.01892	0.0283	-0.0000
294.420	0.01739	0.0295	-0.0000
294.520	0.01890	0.0283	-0.0000
294.620	0.03401	0.0211	-0.0000
294.720	0.02341	0.0254	-0.0000
294.820	0.01736	0.0295	-0.0000
294.920	0.02188	0.0263	-0.0000
295.020	0.03696	0.0202	-0.0000
295.120	0.03995	0.0194	0.0000
295.220	0.05953	0.0159	0.0000
295.320	0.06402	0.0153	0.0000
295.420	0.05044	0.0173	0.0000
295.520	0.09708	0.0125	0.0000
295.620	0.08800	0.0131	0.0000
295.720	0.06390	0.0153	0.0000
295.820	0.11798	0.0113	0.0000
295.920	0.12845	0.0108	0.0000
296.020	0.10886	0.0117	0.0000
296.120	0.14184	0.0103	-0.0000
296.220	0.20329	0.0086	-0.0000
